,symbol,date,day,time,open,high,low,close,hlmean,volume,today_volume,volatility,v_factor
0, 'TSLA', '2020-09-14, Mon, 14:45',408.56,409.49,408.5,408.9681,409.0,147957.0,64467119.0,0.99,0.24
1, 'TSLA', '2020-09-14, Mon, 14:46',408.937,409.5,408.75,408.8,409.12,107840.0,64574959.0,0.75,0.18
2, 'TSLA', '2020-09-14, Mon, 14:47',408.8133,409.44,408.61,408.855,409.02,119512.0,64694471.0,0.83,0.2
3, 'TSLA', '2020-09-14, Mon, 14:48',408.95,410.5,408.76,409.935,409.63,642545.0,65337016.0,1.74,0.42
4, 'TSLA', '2020-09-14, Mon, 14:49',410.0,410.0,408.84,409.46,409.42,204026.0,65541042.0,1.16,0.28
5, 'TSLA', '2020-09-14, Mon, 14:50',409.5,409.64,408.3,408.93,408.97,153103.0,65694145.0,1.34,0.33
6, 'TSLA', '2020-09-14, Mon, 14:51',409.1,409.71,409.045,409.5,409.38,123037.0,65817182.0,0.66,0.16
7, 'TSLA', '2020-09-14, Mon, 14:52',409.4544,410.1,409.08,410.0,409.59,199957.0,66017139.0,1.02,0.25
8, 'TSLA', '2020-09-14, Mon, 14:53',409.99,410.0,409.02,409.24,409.51,139928.0,66157067.0,0.98,0.24
9, 'TSLA', '2020-09-14, Mon, 14:54',409.39,409.53,408.51,408.8,409.02,155427.0,66312494.0,1.02,0.25
10, 'TSLA', '2020-09-14, Mon, 14:55',408.7,409.14,407.731,407.95,408.44,178858.0,66491352.0,1.41,0.34
11, 'TSLA', '2020-09-14, Mon, 14:56',407.93,408.5,406.42,406.7656,407.46,208741.0,66700093.0,2.08,0.51
12, 'TSLA', '2020-09-14, Mon, 14:57',407.1098,407.89,406.8828,407.67,407.39,142527.0,66842620.0,1.01,0.25
13, 'TSLA', '2020-09-14, Mon, 14:58',407.62,408.91,407.3558,408.6301,408.13,156047.0,66998667.0,1.55,0.38
14, 'TSLA', '2020-09-14, Mon, 14:59',408.6301,408.98,408.2,408.98,408.59,86058.0,67084725.0,0.78,0.19
15, 'TSLA', '2020-09-14, Mon, 15:00',408.99,409.65,408.504,408.9433,409.08,149701.0,67234426.0,1.15,0.28
16, 'TSLA', '2020-09-14, Mon, 15:01',409.08,410.0,408.8101,409.75,409.41,184477.0,67418903.0,1.19,0.29
17, 'TSLA', '2020-09-14, Mon, 15:02',409.65,410.8,409.5,410.02,410.15,254969.0,67673872.0,1.3,0.32
18, 'TSLA', '2020-09-14, Mon, 15:03',410.1,410.11,409.0,409.73,409.56,185941.0,67859813.0,1.11,0.27
19, 'TSLA', '2020-09-14, Mon, 15:04',409.64,409.7136,408.2,408.82,408.96,179814.0,68039627.0,1.51,0.37
20, 'TSLA', '2020-09-14, Mon, 15:05',408.74,408.98,407.95,408.745,408.47,129803.0,68169430.0,1.03,0.25
21, 'TSLA', '2020-09-14, Mon, 15:06',408.7665,409.6,408.42,408.8912,409.01,130253.0,68299683.0,1.18,0.29
22, 'TSLA', '2020-09-14, Mon, 15:07',408.79,409.9,408.78,409.6577,409.34,119028.0,68418711.0,1.12,0.27
23, 'TSLA', '2020-09-14, Mon, 15:08',409.72,409.767,408.53,409.285,409.15,133672.0,68552383.0,1.24,0.3
24, 'TSLA', '2020-09-14, Mon, 15:09',409.1501,409.34,408.6,409.3,408.97,80278.0,68632661.0,0.74,0.18
25, 'TSLA', '2020-09-14, Mon, 15:10',409.3,409.53,409.0,409.0108,409.26,113091.0,68745752.0,0.53,0.13
26, 'TSLA', '2020-09-14, Mon, 15:11',408.9966,409.25,408.55,408.995,408.9,96063.0,68841815.0,0.7,0.17
27, 'TSLA', '2020-09-14, Mon, 15:12',408.81,409.2,408.34,408.85,408.77,88479.0,68930294.0,0.86,0.21
28, 'TSLA', '2020-09-14, Mon, 15:13',409.0318,409.42,408.61,409.0,409.01,123693.0,69053987.0,0.81,0.2
29, 'TSLA', '2020-09-14, Mon, 15:14',408.89,409.4,408.73,409.1119,409.06,101849.0,69155836.0,0.67,0.16
30, 'TSLA', '2020-09-14, Mon, 15:15',409.225,409.97,409.0101,409.47,409.49,157747.0,69313583.0,0.96,0.23
