,symbol,date,day,time,open,high,low,close,hlmean,volume,today_volume,volatility,v_factor,pct_change,spy_pct_change,pct_corr,volume:volatility
0,TSLA,2020-10-22, Thu, 11:46,431.8495,432.25,431.58,431.731,431.91,48162,24.535518,0.67,0.16,-2.221,-0.073,0.6535167871734014,0.694819686055888
1,TSLA,2020-10-22, Thu, 11:47,431.59,432.3799,431.45,432.3799,431.91,55300,24.590818,0.93,0.22,-2.192,-0.041,0.6535167871734014,0.694819686055888
2,TSLA,2020-10-22, Thu, 11:48,432.1647,432.99,432.1166,432.96,432.55,70758,24.661576,0.87,0.2,-2.054,-0.041,0.6535167871734014,0.694819686055888
3,TSLA,2020-10-22, Thu, 11:49,433.0,433.2,432.3001,432.5,432.75,90855,24.752431,0.9,0.21,-2.006,-0.015,0.6535167871734014,0.694819686055888
4,TSLA,2020-10-22, Thu, 11:50,432.39,433.04,432.03,432.9894,432.53,50972,24.803403,1.01,0.23,-2.043,-0.047,0.6535167871734014,0.694819686055888
5,TSLA,2020-10-22, Thu, 11:51,433.02,434.55,432.83,434.123,433.69,154470,24.957873,1.72,0.4,-1.701,-0.047,0.6535167871734014,0.694819686055888
6,TSLA,2020-10-22, Thu, 11:52,434.135,435.0,433.95,434.515,434.48,152361,25.110234,1.05,0.24,-1.599,0.0,0.6535167871734014,0.694819686055888
7,TSLA,2020-10-22, Thu, 11:53,434.5,434.61,433.5701,433.82,434.09,82034,25.192268,1.04,0.24,-1.688,-0.035,0.6535167871734014,0.694819686055888
8,TSLA,2020-10-22, Thu, 11:54,433.74,433.99,433.52,433.6219,433.75,38254,25.230522,0.47,0.11,-1.828,-0.035,0.6535167871734014,0.694819686055888
9,TSLA,2020-10-22, Thu, 11:55,433.44,433.68,433.0,433.0,433.34,60869,25.291391,0.68,0.16,-1.898,-0.09,0.6535167871734014,0.694819686055888
10,TSLA,2020-10-22, Thu, 11:56,433.1,433.49,432.6,432.6895,433.05,61659,25.35305,0.89,0.21,-1.941,-0.122,0.6535167871734014,0.694819686055888
11,TSLA,2020-10-22, Thu, 11:57,432.62,432.92,432.28,432.67,432.6,62383,25.415433,0.64,0.15,-2.07,-0.178,0.6535167871734014,0.694819686055888
